title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win
Elizabeth,https://www.imdb.com/title/tt0127536/?ref_=ev_csegosc_nom,1999,1,0,1,0,1,0,0,0,0,0,0
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=ev_csegosc_nom,1999,1,0,1,0,0,0,1,0,1,0,0
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=ev_csegosc_nom,1999,1,1,1,0,1,1,1,1,1,0,0
The Thin Red Line,https://www.imdb.com/title/tt0120863/?ref_=ev_csegosc_nom,1999,1,0,0,0,0,0,0,0,0,0,0
Titanic,https://www.imdb.com/title/tt0120338/?ref_=ev_csegosc_nom,1998,1,0,1,0,1,1,1,1,1,0,1
As Good as It Gets,https://www.imdb.com/title/tt0119822/?ref_=ev_csegosc_nom,1998,1,0,0,0,0,0,1,0,0,0,0
The Full Monty,https://www.imdb.com/title/tt0119164/?ref_=ev_csegosc_nom,1998,1,0,1,1,0,0,0,0,1,1,0
Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=ev_csegosc_nom,1998,1,0,0,0,1,0,1,0,1,0,0
L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=ev_csegosc_nom,1998,1,1,1,0,1,0,1,0,1,0,0
The English Patient,https://www.imdb.com/title/tt0116209/?ref_=ev_csegosc_nom,1997,1,0,1,1,1,1,1,1,1,0,1
Fargo,https://www.imdb.com/title/tt0116282/?ref_=ev_csegosc_nom,1997,1,1,1,0,0,0,0,0,0,0,0
Jerry Maguire,https://www.imdb.com/title/tt0116695/?ref_=ev_csegosc_nom,1997,1,0,0,0,0,0,0,0,0,0,0
Secrets & Lies,https://www.imdb.com/title/tt0117589/?ref_=ev_csegosc_nom,1997,0,0,1,0,1,0,0,0,0,0,0
Shine,https://www.imdb.com/title/tt0117631/?ref_=ev_csegosc_nom,1997,1,0,1,0,1,0,1,0,1,0,0
Braveheart,https://www.imdb.com/title/tt0112573/?ref_=ev_csegosc_nom,1996,0,0,0,0,1,0,0,0,0,0,1
Apollo 13,https://www.imdb.com/title/tt0112384/?ref_=ev_csegosc_nom,1996,1,0,0,0,1,0,1,1,1,1,0
Babe,https://www.imdb.com/title/tt0112431/?ref_=ev_csegosc_nom,1996,0,0,1,0,0,0,0,0,0,0,0
The Postman,https://www.imdb.com/title/tt0110877/?ref_=ev_csegosc_nom,1996,0,0,1,1,0,0,1,0,0,0,0
Sense and Sensibility,https://www.imdb.com/title/tt0114388/?ref_=ev_csegosc_nom,1996,1,1,1,1,1,1,1,0,1,0,0
